s,r,o
chair.n.01,atLocation,kitchen.l.01
container.n.01,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
refrigerator.n.01,atLocation,kitchen.l.01
lettuce.n.02,atLocation,refrigerator.l.01
egg.n.01,atLocation,refrigerator.l.01
potato.n.01,atLocation,refrigerator.l.01
tomato.n.01,atLocation,refrigerator.l.01
burner.n.02,atLocation,kitchen.l.01
egg.n.01,atLocation,kitchen.l.01
knife.n.02,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
spoon.n.01,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
tomato.n.01,atLocation,kitchen.l.01
coffee_maker.n.01,atLocation,kitchen.l.01
bread.n.01,atLocation,kitchen.l.01
microwave.n.02,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
fork.n.04,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
toaster.n.02,atLocation,kitchen.l.01
trash_can.n.01,atLocation,kitchen.l.01
lettuce.n.02,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
sink.n.01,atLocation,kitchen.l.01
plate.n.04,atLocation,kitchen.l.01
apple.n.01,atLocation,kitchen.l.01
bowl.n.03,atLocation,kitchen.l.01
potato.n.01,atLocation,kitchen.l.01
table.n.02,atLocation,kitchen.l.01
pan.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
butter_knife.n.01,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
spoon.n.01,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
fork.n.04,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
plate.n.04,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
bowl.n.03,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
mug.n.04,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
pot.n.01,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
butter_knife.n.01,atLocation,kitchen.l.01
chair.n.01,hasMaterial,wood.n.01
container.n.01,hasMaterial,chrome.n.01
refrigerator.n.01,hasMaterial,chrome.n.01
refrigerator.n.01,hasMaterial,leather.n.01
coffee_maker.n.01,hasMaterial,chrome.n.01
microwave.n.02,hasMaterial,chrome.n.01
toaster.n.02,hasMaterial,chrome.n.01
sink.n.01,hasMaterial,stone.n.02
table.n.02,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
container.n.01,hasAffordance,pick_up.v.02
container.n.01,hasAffordance,put.v.01
container.n.01,hasAffordance,empty.v.01
container.n.01,hasAffordance,fill.v.01
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
refrigerator.n.01,hasAffordance,open.v.01
refrigerator.n.01,hasAffordance,close.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
egg.n.01,hasAffordance,pick_up.v.02
egg.n.01,hasAffordance,put.v.01
egg.n.01,hasAffordance,fry.v.02
egg.n.01,hasAffordance,break.v.02
knife.n.02,hasAffordance,pick_up.v.02
knife.n.02,hasAffordance,put.v.01
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
spoon.n.01,hasAffordance,pick_up.v.02
spoon.n.01,hasAffordance,put.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
tomato.n.01,hasAffordance,pick_up.v.02
tomato.n.01,hasAffordance,put.v.01
tomato.n.01,hasAffordance,slice.v.03
coffee_maker.n.01,hasAffordance,turn_on.v.01
coffee_maker.n.01,hasAffordance,turn_off.v.01
bread.n.01,hasAffordance,pick_up.v.02
bread.n.01,hasAffordance,put.v.01
bread.n.01,hasAffordance,slice.v.03
bread.n.01,hasAffordance,toast.v.01
microwave.n.02,hasAffordance,open.v.01
microwave.n.02,hasAffordance,close.v.01
microwave.n.02,hasAffordance,turn_on.v.01
microwave.n.02,hasAffordance,turn_off.v.01
fork.n.04,hasAffordance,pick_up.v.02
fork.n.04,hasAffordance,put.v.01
toaster.n.02,hasAffordance,turn_on.v.01
toaster.n.02,hasAffordance,turn_off.v.01
lettuce.n.02,hasAffordance,pick_up.v.02
lettuce.n.02,hasAffordance,put.v.01
lettuce.n.02,hasAffordance,slice.v.03
sink.n.01,hasAffordance,turn_on.v.01
sink.n.01,hasAffordance,turn_off.v.01
plate.n.04,hasAffordance,pick_up.v.02
plate.n.04,hasAffordance,put.v.01
apple.n.01,hasAffordance,pick_up.v.02
apple.n.01,hasAffordance,put.v.01
apple.n.01,hasAffordance,slice.v.03
bowl.n.03,hasAffordance,pick_up.v.02
bowl.n.03,hasAffordance,put.v.01
potato.n.01,hasAffordance,pick_up.v.02
potato.n.01,hasAffordance,put.v.01
potato.n.01,hasAffordance,slice.v.03
pan.n.01,hasAffordance,pick_up.v.02
pan.n.01,hasAffordance,put.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
pot.n.01,hasAffordance,pick_up.v.02
pot.n.01,hasAffordance,put.v.01
butter_knife.n.01,hasAffordance,pick_up.v.02
butter_knife.n.01,hasAffordance,put.v.01
apple.n.01,atLocation,kitchen.l.01
fork.n.04,atLocation,kitchen.l.01
butter_knife.n.01,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
spoon.n.01,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
fork.n.04,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
butter_knife.n.01,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
mug.n.04,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
plate.n.04,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
bowl.n.03,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
mug.n.04,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
bowl.n.03,atLocation,kitchen.l.01
knife.n.02,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
toaster.n.02,atLocation,kitchen.l.01
refrigerator.n.01,atLocation,kitchen.l.01
potato.n.01,atLocation,refrigerator.l.01
tomato.n.01,atLocation,refrigerator.l.01
lettuce.n.02,atLocation,refrigerator.l.01
egg.n.01,atLocation,refrigerator.l.01
pan.n.01,atLocation,kitchen.l.01
tomato.n.01,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
chair.n.01,atLocation,kitchen.l.01
potato.n.01,atLocation,kitchen.l.01
plate.n.04,atLocation,kitchen.l.01
microwave.n.02,atLocation,kitchen.l.01
pot.n.01,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
trash_can.n.01,atLocation,kitchen.l.01
sink.n.01,atLocation,kitchen.l.01
table.n.02,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
coffee_maker.n.01,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
egg.n.01,atLocation,kitchen.l.01
bread.n.01,atLocation,kitchen.l.01
spoon.n.01,atLocation,kitchen.l.01
lettuce.n.02,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
container.n.01,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
toaster.n.02,hasMaterial,chrome.n.01
refrigerator.n.01,hasMaterial,chrome.n.01
refrigerator.n.01,hasMaterial,leather.n.01
chair.n.01,hasMaterial,wood.n.01
microwave.n.02,hasMaterial,chrome.n.01
sink.n.01,hasMaterial,stone.n.02
table.n.02,hasMaterial,wood.n.01
coffee_maker.n.01,hasMaterial,chrome.n.01
container.n.01,hasMaterial,chrome.n.01
apple.n.01,hasAffordance,pick_up.v.02
apple.n.01,hasAffordance,put.v.01
apple.n.01,hasAffordance,slice.v.03
fork.n.04,hasAffordance,pick_up.v.02
fork.n.04,hasAffordance,put.v.01
butter_knife.n.01,hasAffordance,pick_up.v.02
butter_knife.n.01,hasAffordance,put.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
bowl.n.03,hasAffordance,pick_up.v.02
bowl.n.03,hasAffordance,put.v.01
knife.n.02,hasAffordance,pick_up.v.02
knife.n.02,hasAffordance,put.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
toaster.n.02,hasAffordance,turn_on.v.01
toaster.n.02,hasAffordance,turn_off.v.01
refrigerator.n.01,hasAffordance,open.v.01
refrigerator.n.01,hasAffordance,close.v.01
pan.n.01,hasAffordance,pick_up.v.02
pan.n.01,hasAffordance,put.v.01
tomato.n.01,hasAffordance,pick_up.v.02
tomato.n.01,hasAffordance,put.v.01
tomato.n.01,hasAffordance,slice.v.03
potato.n.01,hasAffordance,pick_up.v.02
potato.n.01,hasAffordance,put.v.01
potato.n.01,hasAffordance,slice.v.03
plate.n.04,hasAffordance,pick_up.v.02
plate.n.04,hasAffordance,put.v.01
microwave.n.02,hasAffordance,open.v.01
microwave.n.02,hasAffordance,close.v.01
microwave.n.02,hasAffordance,turn_on.v.01
microwave.n.02,hasAffordance,turn_off.v.01
pot.n.01,hasAffordance,pick_up.v.02
pot.n.01,hasAffordance,put.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
sink.n.01,hasAffordance,turn_on.v.01
sink.n.01,hasAffordance,turn_off.v.01
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
coffee_maker.n.01,hasAffordance,turn_on.v.01
coffee_maker.n.01,hasAffordance,turn_off.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
egg.n.01,hasAffordance,pick_up.v.02
egg.n.01,hasAffordance,put.v.01
egg.n.01,hasAffordance,fry.v.02
egg.n.01,hasAffordance,break.v.02
bread.n.01,hasAffordance,pick_up.v.02
bread.n.01,hasAffordance,put.v.01
bread.n.01,hasAffordance,slice.v.03
bread.n.01,hasAffordance,toast.v.01
spoon.n.01,hasAffordance,pick_up.v.02
spoon.n.01,hasAffordance,put.v.01
lettuce.n.02,hasAffordance,pick_up.v.02
lettuce.n.02,hasAffordance,put.v.01
lettuce.n.02,hasAffordance,slice.v.03
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
container.n.01,hasAffordance,pick_up.v.02
container.n.01,hasAffordance,put.v.01
container.n.01,hasAffordance,empty.v.01
container.n.01,hasAffordance,fill.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
spoon.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
mug.n.04,atLocation,cabinet.l.01
pot.n.01,atLocation,kitchen.l.01
toaster.n.02,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
table.n.02,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
plate.n.04,atLocation,cabinet.l.01
container.n.01,atLocation,kitchen.l.01
apple.n.01,atLocation,kitchen.l.01
tomato.n.01,atLocation,kitchen.l.01
sink.n.01,atLocation,kitchen.l.01
pan.n.01,atLocation,kitchen.l.01
butter_knife.n.01,atLocation,kitchen.l.01
chair.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
potato.n.01,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
knife.n.02,atLocation,kitchen.l.01
bread.n.01,atLocation,kitchen.l.01
lettuce.n.02,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
bowl.n.03,atLocation,cabinet.l.01
cabinet.n.01,atLocation,kitchen.l.01
plate.n.04,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
burner.n.02,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
egg.n.01,atLocation,kitchen.l.01
trash_can.n.01,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
fork.n.04,atLocation,cabinet.l.01
knob.n.02,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
microwave.n.02,atLocation,kitchen.l.01
fork.n.04,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
refrigerator.n.01,atLocation,kitchen.l.01
egg.n.01,atLocation,refrigerator.l.01
lettuce.n.02,atLocation,refrigerator.l.01
apple.n.01,atLocation,refrigerator.l.01
tomato.n.01,atLocation,refrigerator.l.01
bowl.n.03,atLocation,kitchen.l.01
mug.n.04,atLocation,kitchen.l.01
cabinet.n.01,atLocation,kitchen.l.01
spoon.n.01,atLocation,cabinet.l.01
coffee_maker.n.01,atLocation,kitchen.l.01
cabinet.n.01,hasMaterial,wood.n.01
toaster.n.02,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
table.n.02,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,wood.n.01
container.n.01,hasMaterial,chrome.n.01
sink.n.01,hasMaterial,stone.n.02
chair.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
cabinet.n.01,hasMaterial,chrome.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,tile.n.01
microwave.n.02,hasMaterial,chrome.n.01
refrigerator.n.01,hasMaterial,chrome.n.01
refrigerator.n.01,hasMaterial,leather.n.01
cabinet.n.01,hasMaterial,wood.n.01
cabinet.n.01,hasMaterial,stone.n.02
coffee_maker.n.01,hasMaterial,chrome.n.01
spoon.n.01,hasAffordance,pick_up.v.02
spoon.n.01,hasAffordance,put.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
pot.n.01,hasAffordance,pick_up.v.02
pot.n.01,hasAffordance,put.v.01
toaster.n.02,hasAffordance,turn_on.v.01
toaster.n.02,hasAffordance,turn_off.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
container.n.01,hasAffordance,pick_up.v.02
container.n.01,hasAffordance,put.v.01
container.n.01,hasAffordance,empty.v.01
container.n.01,hasAffordance,fill.v.01
apple.n.01,hasAffordance,pick_up.v.02
apple.n.01,hasAffordance,put.v.01
apple.n.01,hasAffordance,slice.v.03
tomato.n.01,hasAffordance,pick_up.v.02
tomato.n.01,hasAffordance,put.v.01
tomato.n.01,hasAffordance,slice.v.03
sink.n.01,hasAffordance,turn_on.v.01
sink.n.01,hasAffordance,turn_off.v.01
pan.n.01,hasAffordance,pick_up.v.02
pan.n.01,hasAffordance,put.v.01
butter_knife.n.01,hasAffordance,pick_up.v.02
butter_knife.n.01,hasAffordance,put.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
potato.n.01,hasAffordance,pick_up.v.02
potato.n.01,hasAffordance,put.v.01
potato.n.01,hasAffordance,slice.v.03
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
knife.n.02,hasAffordance,pick_up.v.02
knife.n.02,hasAffordance,put.v.01
bread.n.01,hasAffordance,pick_up.v.02
bread.n.01,hasAffordance,put.v.01
bread.n.01,hasAffordance,slice.v.03
bread.n.01,hasAffordance,toast.v.01
lettuce.n.02,hasAffordance,pick_up.v.02
lettuce.n.02,hasAffordance,put.v.01
lettuce.n.02,hasAffordance,slice.v.03
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
plate.n.04,hasAffordance,pick_up.v.02
plate.n.04,hasAffordance,put.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
burner.n.02,hasAffordance,turn_on.v.01
burner.n.02,hasAffordance,turn_off.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
egg.n.01,hasAffordance,pick_up.v.02
egg.n.01,hasAffordance,put.v.01
egg.n.01,hasAffordance,fry.v.02
egg.n.01,hasAffordance,break.v.02
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
microwave.n.02,hasAffordance,open.v.01
microwave.n.02,hasAffordance,close.v.01
microwave.n.02,hasAffordance,turn_on.v.01
microwave.n.02,hasAffordance,turn_off.v.01
fork.n.04,hasAffordance,pick_up.v.02
fork.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
refrigerator.n.01,hasAffordance,open.v.01
refrigerator.n.01,hasAffordance,close.v.01
bowl.n.03,hasAffordance,pick_up.v.02
bowl.n.03,hasAffordance,put.v.01
mug.n.04,hasAffordance,pick_up.v.02
mug.n.04,hasAffordance,put.v.01
mug.n.04,hasAffordance,empty.v.01
mug.n.04,hasAffordance,fill.v.01
cabinet.n.01,hasAffordance,open.v.01
cabinet.n.01,hasAffordance,close.v.01
coffee_maker.n.01,hasAffordance,turn_on.v.01
coffee_maker.n.01,hasAffordance,turn_off.v.01
table.n.02,atLocation,kitchen.l.01
plate.n.04,atLocation,kitchen.l.01
knob.n.02,atLocation,kitchen.l.01
tomato.n.01,atLocation,kitchen.l.01
pan.n.01,atLocation,kitchen.l.01
container.n.01,atLocation,kitchen.l.01
refrigerator.n.01,atLocation,kitchen.l.01
egg.n.01,atLocation,refrigerator.l.01
lettuce.n.02,atLocation,refrigerator.l.01
fork.n.04,atLocation,kitchen.l.01
trash_can.n.01,atLocation,kitchen.l.01
